id,original_text,submitted_text,label,source,instructor_feedback
106,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,AI_Generated,ChatGPT,NA
107,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,AI_Generated,ChatGPT,Highly similar
108,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Well-written
109,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
110,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Too vague
111,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Too vague
112,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,NA
113,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Too vague
114,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Too vague
115,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Accurate paraphrase
116,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Highly similar
117,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Well-written
118,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Well-written
119,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Strong match
120,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Accurate paraphrase
121,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,AI_Generated,ChatGPT,Highly similar
122,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,NA
123,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Highly similar
124,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Highly similar
125,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,AI_Generated,ChatGPT,Strong match
126,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Highly similar
127,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Strong match
128,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
129,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Well-written
130,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Highly similar
131,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,NA
132,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Well-written
133,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Strong match
134,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Highly similar
135,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,Human_Paraphrase,PAN,Accurate paraphrase
136,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Too vague
137,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Accurate paraphrase
138,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,NA
139,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Well-written
140,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,NA
141,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Accurate paraphrase
142,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Highly similar
143,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,NA
144,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Accurate paraphrase
145,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Too vague
146,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Strong match
147,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Well-written
148,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,NA
149,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,NA
150,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Strong match
151,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Strong match
152,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Highly similar
153,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Well-written
154,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Accurate paraphrase
155,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Too vague
156,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,NA
157,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Accurate paraphrase
158,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Too vague
159,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Accurate paraphrase
160,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Highly similar
161,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Strong match
162,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Accurate paraphrase
163,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Too vague
164,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,NA
165,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Highly similar
166,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Well-written
167,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,NA
168,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Strong match
169,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Too vague
170,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
171,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Too vague
172,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,NA
173,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Too vague
174,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Accurate paraphrase
175,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Well-written
176,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Accurate paraphrase
177,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Highly similar
178,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Well-written
179,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Well-written
180,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,Human_Paraphrase,PAN,Strong match
181,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Accurate paraphrase
182,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Strong match
183,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Accurate paraphrase
184,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Well-written
185,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Highly similar
186,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Accurate paraphrase
187,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
188,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Strong match
189,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Accurate paraphrase
190,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,Human_Paraphrase,PAN,Highly similar
191,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Highly similar
192,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Highly similar
193,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Well-written
194,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Accurate paraphrase
195,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,Human_Paraphrase,PAN,Well-written
196,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Too vague
197,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Accurate paraphrase
198,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Highly similar
199,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
200,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Too vague
201,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Well-written
202,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,NA
203,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Highly similar
204,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,Accurate paraphrase
205,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Accurate paraphrase
206,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,NA
207,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Strong match
208,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,NA
209,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Accurate paraphrase
210,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Well-written
211,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Too vague
212,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Highly similar
213,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Too vague
214,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Well-written
215,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Accurate paraphrase
216,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Too vague
217,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Too vague
218,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Well-written
219,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,Human_Paraphrase,PAN,Strong match
220,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Strong match
221,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
222,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Well-written
223,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Too vague
224,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Accurate paraphrase
225,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,NA
226,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,Well-written
227,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,Well-written
228,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Too vague
229,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Too vague
230,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Well-written
231,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Strong match
232,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,NA
233,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Well-written
234,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Strong match
235,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,NA
236,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Too vague
237,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Too vague
238,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,AI_Generated,ChatGPT,Strong match
239,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Accurate paraphrase
240,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Well-written
241,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Well-written
242,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Too vague
243,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Too vague
